States,Districts,Personal Habits (age 15 years and above) (%) - Men who use any kind of smokeless tobacco,Personal Habits (age 15 years and above) (%) - Women who use any kind of smokeless tobacco,Personal Habits (age 15 years and above) (%) - Men who smoke,Personal Habits (age 15 years and above) (%) - Women who smoke,Personal Habits (age 15 years and above) (%) - Men who consume alcohol,Personal Habits (age 15 years and above) (%) - Women who consume alcohol
Andaman and Nicobar Islands,Total,66.7,38.3,19.5,2.2,42.8,7.9
Andaman and Nicobar Islands,North & Middle Andamans,69.5,50.6,17.7,1.9,29.2,3.5
Andaman and Nicobar Islands,South Andaman,58.6,21.1,13.6,0.5,41.6,2
Andaman and Nicobar Islands,Nicobars,87.5,71.2,33.8,7.6,63.4,28.2
Andhra Pradesh,Total,10.7,6.1,23.4,2.7,29.3,2.4
Andhra Pradesh,Srikakulam,13,7.5,19.4,6.2,30.6,4.7
Andhra Pradesh,Vizianagaram,9.6,1.1,25.1,5.5,34.4,1.2
Andhra Pradesh,Visakhapatnam,15.4,5.4,33,3.8,38.6,3.5
Andhra Pradesh,East Godavari,10.2,5.4,23.6,3.7,29.1,4.2
Andhra Pradesh,West Godavari,8.3,0.7,26.4,2.8,38.8,3
Andhra Pradesh,Krishna,13.9,3.3,29.5,1.5,37.2,3.3
Andhra Pradesh,Guntur,12.9,4,24.4,1.6,31.7,2.1
Andhra Pradesh,Prakasam,5.5,0.8,17.5,1.2,27.8,1.3
Andhra Pradesh,Nellore,11.6,5.7,22.2,1.1,27.8,0.9
Andhra Pradesh,Cuddapah,6.5,10.7,14.9,0.5,15.3,0.6
Andhra Pradesh,Kurnool,8.4,7.6,17.3,1.7,20.1,1.7
Andhra Pradesh,Anantapur,6,12.4,17,2,17.8,1.5
Andhra Pradesh,Chittoor,10.9,9.9,21.8,2.4,23.1,1.8
Arunachal Pradesh,Total,56.8,33.7,41.9,7.9,65.4,38.1
Arunachal Pradesh,Tawang,46.1,22.9,35.8,7.3,69.3,49.9
Arunachal Pradesh,West Kameng,53.9,24.7,44.3,5.4,66.7,41.1
Arunachal Pradesh,East Kameng,54.4,29.8,37.8,5.8,60.2,32
Arunachal Pradesh,Papumpare,56.7,32.6,41.1,5.9,56.7,22.3
Arunachal Pradesh,Lower Subansiri,49.7,26.5,38.3,4.9,51.7,25.6
Arunachal Pradesh,Upper Subansiri,56.8,32.9,31.8,5.1,70.8,49
Arunachal Pradesh,West Siang,52.9,19.1,46.5,7.2,68.1,50
Arunachal Pradesh,East Siang,66.2,52,31.5,4.9,66.4,36.5
Arunachal Pradesh,Upper Siang,52.9,26.5,47.6,15,70.5,43.1
Arunachal Pradesh,Dibang Valley,42.8,22,43.8,7.6,71,46.2
Arunachal Pradesh,Lohit,71.6,60.2,45.5,9.3,65.6,33.7
Arunachal Pradesh,Changlang,70.9,50.1,43.4,12,67.9,37
Arunachal Pradesh,Tirap,68.7,40.7,43.3,5.8,64.3,30.1
Arunachal Pradesh,Kurung Kumey,48.8,23.3,39.3,7.1,57.3,37
Arunachal Pradesh,Lower Dibang Valley,67.3,44.9,45.2,9.1,63.3,27.4
Arunachal Pradesh,Anjaw,58.6,36.1,64.3,25.6,81,66.2
Chandigarh,Total,4.8,0.3,13.8,0.3,36.3,1
Goa,Total,9.4,7.5,8,1.9,14,3
Goa,North Goa,1.7,1.1,5.9,0.7,10.7,1.6
Goa,South Goa,19.6,15.9,10.3,3.4,17,5.2
Haryana,Total,5.3,0.6,26.8,1.9,20.2,0.6
Haryana,Panchukala,5.6,0.6,21,1.3,23.5,0.5
Haryana,Ambala ,8.8,0.9,18.8,0.7,19.9,0.4
Haryana,Yamunanagar,10.1,0.9,16.3,1.2,13.1,0.4
Haryana,Kuruksherta,1.8,0.3,27.3,1.4,18.8,0.4
Haryana,kaithal,5.5,1,24.8,1.4,21.2,0.6
Haryana,Karnal,1.3,0.2,24.2,1.8,15.4,0.3
Haryana,Panipat,7.8,1.2,26,3.6,17,0.4
Haryana,Sonipat,5.2,0.7,22.8,1.7,16.3,0.4
Haryana,Jind,2.8,0.2,28.3,1.7,21.8,0.9
Haryana,Fatehabad,11.6,1,16.6,0.8,14.1,0.4
Haryana,Sirsa,8.8,0.4,24.3,0.4,21.5,0.3
Haryana,Hisar,5.6,0.2,33.5,1,20.2,0.2
Haryana,Bhiwani,4.1,0.1,47.1,0.8,27.6,0.3
Haryana,Rohtak,4.7,0.6,27.7,1.9,23,0.5
Haryana,Jhajjar,4.2,0.7,31.4,2.3,26,0.6
Haryana,Mahendragarh,7.2,0.1,35.2,1.8,18,0.1
Haryana,Rewari,2.8,0.6,28,1.3,11.8,0.7
Haryana,Gurgaon,8.5,0.4,33.4,2.6,34.2,1.7
Haryana,Faridabad,2.1,0.6,23.1,1.8,24.8,1
Haryana,Mewat,4.3,1.7,28,3.2,10.8,0.5
Haryana,Palwal,2.7,0.2,30.4,3,17.4,1
Himachal Pradesh,Total,8.4,0.9,34.1,2,37,1.8
Himachal Pradesh,Chamba,2.1,0,34.8,0.5,40.6,0
Himachal Pradesh,Kangra,5.8,NA,36,0.2,45.4,0.2
Himachal Pradesh,Lahul & Spiti,6.8,3.1,36.1,4.7,43.3,7.6
Himachal Pradesh,Kullu,20.1,3.2,43.8,7.6,43.3,2
Himachal Pradesh,Mandi,10.5,2.7,37,3.8,43.7,2
Himachal Pradesh,Hamirpur,4.5,0.1,34.7,0.5,35.4,0.5
Himachal Pradesh,Una,7,0.1,33.1,1.1,28.9,0.2
Himachal Pradesh,Bilaspur,10.1,2,27.2,0.8,25.1,0.3
Himachal Pradesh,Solan,6.2,0.4,29.3,1.3,29.6,0.9
Himachal Pradesh,Sirmaur,9.9,0.6,34.5,1.8,39.4,1.3
Himachal Pradesh,Shimla,2.5,NA,31.7,0.6,36.7,0.7
Himachal Pradesh,Kinnaur,6.8,0.7,28.7,3.1,33.2,5.7
Karnataka,Total,36.2,24.6,16.4,0.7,18.8,1.1
Karnataka,Belgaum,46.4,26.9,11.3,0.3,27.1,0.9
Karnataka,Bagalkot,27.3,10.4,5.9,0.1,8.5,0.1
Karnataka,Bijapur,47.1,12.4,17.6,0.4,21.8,0.5
Karnataka,Gulbarga,43.5,27.5,17.8,0.3,15.1,0.3
Karnataka,Bidar,37.8,18.6,19.7,0.7,11,0.7
Karnataka,Raichur,25.6,26.5,Na,Na,22,2.1
Karnataka,Koppal,46,30.7,22,0.2,24.9,0.7
Karnataka,Gadag,63.4,44.9,15.5,0,22.7,0.6
Karnataka,Dharwad,55.4,33.2,8.7,0.3,8.5,0.2
Karnataka,Uttara kannada,57.3,29.1,9.5,0.4,23.3,2.3
Karnataka,Haveri,70.6,48.1,11.9,0.7,28.5,2.3
Karnataka,Bellary,39.9,30.2,11.5,0.7,12.9,1.3
Karnataka,Chitradurga,33.3,23.2,19.4,0.7,16,0.9
Karnataka,Devangere,54.9,42,13,1.6,12.3,1.9
Karnataka,Shimoga,42.8,24.9,19.3,1,22.1,1
Karnataka,Udupi,29.5,19.3,8.3,0.7,8.7,0.4
Karnataka,Chickmanglur,34.8,18,30.8,2.4,28.4,1.7
Karnataka,Tumkur,48,43.7,22.5,0.5,17.9,0.5
Karnataka,Kolar,27.3,29.9,16.5,0.6,11.8,0.4
Karnataka,Banglore,14.2,17.1,18,0.4,19.8,0.5
Karnataka,Banglore Rural,15.2,23.3,16.9,0.9,12.9,0.9
Karnataka,Mandya,9.3,9.1,19.1,0.4,17,0.3
Karnataka,Hassan,20.9,12.2,19.8,1.7,16.3,1.6
Karnataka,Dakshina Kannada,24.2,16.1,24.7,1.3,18.1,0.5
Karnataka,Kodagu,21.6,18.5,21.5,0.4,25.2,1.5
Karnataka,Mysore,16.8,12.5,23.6,1.2,24.3,1.4
Karnataka,Chamaranjangar,11.3,8,21.4,1.2,19.3,1.6
Karnataka,Ramanagara,9.9,15.8,22.6,0.9,19.9,1
Karnataka,Chikkaballarpura,24.6,31.5,15,1.5,13,0.7
Karnataka,Yadgir,23,17.7,13,0.7,17.8,2.7
Kerala,Total,11.4,2,23.8,0.6,30.1,0.8
Kerala,Kasaragod,12.1,3.6,16.6,1,18.8,1.4
Kerala,Kannur,2.2,3.3,11.1,0,15.6,0.5
Kerala,Wayanad,3.4,1.9,15.5,0.5,16.3,0.7
Kerala,Kozhikode,2.3,0.4,15.4,0.3,16.9,0.4
Kerala,Malappuram,30.9,3.9,41.9,0.8,43.3,0.8
Kerala,Palakkad,27.6,2.8,24.3,1.6,27.2,2.6
Kerala,Thrissur,3.5,1,20.1,0.3,33.1,0.4
Kerala,Ernakulam,8.7,1.3,27.3,0.9,38.1,0.6
Kerala,Idukki,24.4,0.9,37,1.2,39.4,1.5
Kerala,Kottayam,2.7,0.3,13.6,0.1,23.4,0.5
Kerala,Alappuzha,4.7,1.7,30.5,0.1,42.2,0.3
Kerala,Pathanamthitta,30,5.3,39.1,4.4,43.2,4.9
Kerala,Kollam,5.1,2.4,17.2,0.1,24.2,0
Kerala,Thiruvananthapuram,8,3.1,23.8,0.1,42,0.1
Maharashtra,Total,35,9,7,0.4,12.5,0.5
Maharashtra,Nandurbar,41.1,17.7,9,0.8,16.4,1.7
Maharashtra,Dhule,39.7,13.5,8.8,0.5,22.4,1.4
Maharashtra,Jalgaon,33.1,7.9,4.3,0.2,11.9,0.2
Maharashtra,Buldana,40.2,13.2,4.4,0.9,6.8,1.2
Maharashtra,Akola,45.7,10.3,5.7,0.1,13.2,0.4
Maharashtra,Washim,40.4,9.1,8.1,0.2,12.5,0.2
Maharashtra,Amravati,48.9,14,9.9,0.3,17.6,0.4
Maharashtra,Wardha,30.8,8.7,7.3,0.5,12.2,0.4
Maharashtra,Nagpur,40.7,13.3,6.6,0.2,12,0.3
Maharashtra,Bhandara,40.3,11.9,6.6,0.8,8.8,0.5
Maharashtra,Gondiya,33.5,6.6,8.7,0.7,14.5,0.2
Maharashtra,Gadchiroli,57.6,15.6,10.8,0.7,31,1.6
Maharashtra,Chandrapur,58.6,11.4,10.3,0.3,26,0.5
Maharashtra,Yavatmal,61.1,14.2,13.2,0.5,24.6,0.4
Maharashtra,Nanded,30.6,7.3,8.7,0.5,9.4,0.5
Maharashtra,Hingoli,31.5,8.2,7.5,0.2,7.6,0.7
Maharashtra,Parbhani,26.8,4.9,4.9,0.6,4.6,0.4
Maharashtra,Jalna,28.1,8.1,8,0.2,9.6,0.1
Maharashtra,Aurangabad,26.8,10.5,7.6,0.4,7.9,0.1
Maharashtra,Nashik,35.1,8.4,7.8,0.1,18.5,1.5
Maharashtra,Thane,14.4,3.1,5.3,1.1,8.6,0.8
Maharashtra,Mumbai (Suburban),21.8,4.8,6,0.2,8.3,0.2
Maharashtra,Mumbai ,18.4,4,9.1,1.1,11,1.2
Maharashtra,Raigarh,39,8.9,6.7,0.4,19.1,0.6
Maharashtra,Pune,34.7,5.8,6.7,0.7,12.7,0.7
Maharashtra,Ahmadnagar,26.5,5.6,4.3,0.4,8.7,0.2
Maharashtra,Bid,26.3,5.5,4.6,0.1,5.4,0
Maharashtra,Latur,35.2,6.4,9.9,0.9,9.9,0.5
Maharashtra,Osmanabad,25.5,4.3,4.4,0.9,4,0.9
Maharashtra,Solapur,29.7,5.7,4.5,0.2,8.2,0.1
Maharashtra,Satara,23.6,6.8,3.8,0.1,6.7,0.2
