S.No.,State/UT,Estimated mid-year population for Urban areas (as on 1st July 2019),PHCs and HWC-PHCs - Required - R,PHCs and HWC-PHCs - In Position - P,PHCs and HWC-PHCs - Shortfall - S,PHCs and HWC-PHCs - % Shorfall
1,Andhra Pradesh,17935000,359,364,0,0
2,Arunachal Pradesh,374000,7,4,3,47
3,Assam,5202000,104,55,49,47
4,Bihar,14397000,288,95,193,67
5,Chhattisgarh,7486000,150,45,105,70
6,Goa,1108000,22,0,22,100
7,Gujarat,32010000,640,318,322,50
8,Haryana,11503000,230,97,133,58
9,Himachal Pradesh,748000,15,20,0,0
10,Jammu & Kashmir,4001000,80,49,31,39
11,Jharkhand,9599000,192,57,135,70
12,Karnataka,28140000,563,435,128,23
13,Kerala,23675000,474,83,391,82
14,Madhya Pradesh,23618000,472,136,336,71
15,Maharashtra,58240000,1165,538,627,54
16,Manipur,979000,20,9,11,54
17,Meghalaya,663000,13,0,13,100
18,Mizoram,648000,13,10,3,23
19,Nagaland,874000,17,5,12,71
20,Odisha,7956000,159,87,72,45
21,Punjab,12125000,243,16,227,93
22,Rajasthan,20248000,405,377,0,0
23,Sikkim,276000,6,1,5,82
24,Tamil Nadu,39465000,789,463,326,41
25,Telangana,16748000,335,249,86,26
26,Tripura,1407000,28,5,23,82
27,Uttarakhand,3822000,76,0,76,100
28,Uttar Pradesh,53100000,1062,624,438,41
29,West Bengal,34247000,685,448,237,35
30,A & N Islands,168000,3,2,1,40
31,Chandigarh,1178000,24,46,0,0
32,D & N Haveli,359000,7,2,5,72
33,Daman & Diu,389000,8,0,8,100
34,Delhi,19768000,395,535,0,0
35,Lakshadweep,64000,1,0,1,100
36,Puducherry,1056000,21,15,6,29
All India/Total,All India/Total,453576000,9072,5190,4026,44
